-- diagnose_rounds_won.lua -- inicio frame 0 --
[CAMBIO F6868] GSTATE+0x00 (0xFF8900): 5 -> 3
[CAMBIO F6870] GSTATE+0x00 (0xFF8900): 3 -> 1
[CAMBIO F6872] GSTATE+0x00 (0xFF8900): 1 -> 0
[CAMBIO F6888] GSTATE+0x01 (0xFF8901): 0 -> 29
[CAMBIO F6890] GSTATE+0x01 (0xFF8901): 29 -> 27
[CAMBIO F6892] GSTATE+0x01 (0xFF8901): 27 -> 25
[CAMBIO F6894] GSTATE+0x01 (0xFF8901): 25 -> 23
[CAMBIO F6896] GSTATE+0x01 (0xFF8901): 23 -> 21
[CAMBIO F6898] GSTATE+0x01 (0xFF8901): 21 -> 19
[CAMBIO F6900] GSTATE+0x01 (0xFF8901): 19 -> 17
[CAMBIO F6902] GSTATE+0x01 (0xFF8901): 17 -> 15
[CAMBIO F6904] GSTATE+0x01 (0xFF8901): 15 -> 13
[CAMBIO F6906] GSTATE+0x01 (0xFF8901): 13 -> 11
[CAMBIO F6908] GSTATE+0x01 (0xFF8901): 11 -> 9
[CAMBIO F6910] GSTATE+0x01 (0xFF8901): 9 -> 7
[CAMBIO F6912] GSTATE+0x01 (0xFF8901): 7 -> 5
[CAMBIO F6914] GSTATE+0x01 (0xFF8901): 5 -> 3
[CAMBIO F6916] GSTATE+0x01 (0xFF8901): 3 -> 1
[CAMBIO F6918] GSTATE+0x01 (0xFF8901): 1 -> 0
[CAMBIO F7044] P2_base+0xEB+2 (0xFF86EB): 102 -> 75
[CAMBIO F7044] GLOBAL+0x21 (0xFF8021): 168 -> 172
[CAMBIO F7250] GSTATE+0x01 (0xFF8901): 0 -> 29
[CAMBIO F7252] GSTATE+0x01 (0xFF8901): 29 -> 27
[CAMBIO F7254] GSTATE+0x01 (0xFF8901): 27 -> 25
[CAMBIO F7256] GSTATE+0x01 (0xFF8901): 25 -> 23
[CAMBIO F7258] GSTATE+0x01 (0xFF8901): 23 -> 21
[CAMBIO F7260] GSTATE+0x01 (0xFF8901): 21 -> 19
[CAMBIO F7262] GSTATE+0x01 (0xFF8901): 19 -> 17
[CAMBIO F7264] GSTATE+0x01 (0xFF8901): 17 -> 15
[CAMBIO F7266] GSTATE+0x01 (0xFF8901): 15 -> 13
[CAMBIO F7268] GSTATE+0x01 (0xFF8901): 13 -> 11
[CAMBIO F7270] GSTATE+0x01 (0xFF8901): 11 -> 9
[CAMBIO F7272] GSTATE+0x01 (0xFF8901): 9 -> 7
[CAMBIO F7274] GSTATE+0x01 (0xFF8901): 7 -> 5
[CAMBIO F7276] GSTATE+0x01 (0xFF8901): 5 -> 3
[CAMBIO F7278] GSTATE+0x01 (0xFF8901): 3 -> 1
[CAMBIO F7280] GSTATE+0x01 (0xFF8901): 1 -> 0
[CAMBIO F7332] GLOBAL+0x21 (0xFF8021): 172 -> 176
[CAMBIO F7334] P2_base+0xEB+2 (0xFF86EB): 75 -> 53
[CAMBIO F7372] P2_CROUCH_ref (0xFF86C4): 3 -> 2
[CAMBIO F7414] P2_base+0xEB+2 (0xFF86EB): 53 -> 32
[CAMBIO F7414] GLOBAL+0x21 (0xFF8021): 176 -> 180
[CAMBIO F7484] GSTATE+0x01 (0xFF8901): 0 -> 30
[CAMBIO F7486] GSTATE+0x01 (0xFF8901): 30 -> 28
[CAMBIO F7488] GSTATE+0x01 (0xFF8901): 28 -> 26
[CAMBIO F7490] GSTATE+0x01 (0xFF8901): 26 -> 24
[CAMBIO F7492] GSTATE+0x01 (0xFF8901): 24 -> 22
[CAMBIO F7494] GSTATE+0x01 (0xFF8901): 22 -> 20
[CAMBIO F7496] GSTATE+0x01 (0xFF8901): 20 -> 18
[CAMBIO F7498] GSTATE+0x01 (0xFF8901): 18 -> 16
[CAMBIO F7500] GSTATE+0x01 (0xFF8901): 16 -> 14
